paper	cv_over_edges	testedges_removed_from_encoder_graph	negative_sampling_category	negative_sampling_text	model_free_baseline	quote_D1	quote_D2	quote_D3	quote_D4	source_retrieved
DGNMDA (Lu et al.)	yes	unclear	uniform_unlabeled	Random undersampling of 0-labeled (unknown) pairs to an equal count as positives (1:1)	no	First, we split the data into training and testing subsets in an 8:2 proportion to assess the models generalization ability.	NA - no sentence states whether test associations are removed from the adjacency or similarity matrices	To tackle the uneven data distribution, we perform undersampling on the negative samples. Specifically, we equalize the dataset by randomly choosing an equivalent count of 0-labeled instances.	Table 1 caption: Comparative evaluation of alternative approaches. Baselines NIMCGCN, AGAEMD, HGANMDA, MAGCN, AMHMDA are all trained models	full_text
HLGNN-MDA (Yu et al.)	yes	yes	uniform_unlabeled	5430 known associations as positives and a random sample of the same number of candidate associations as negatives (1:1)	no	The dataset with the positive and negative samples together was then randomly divided into ten parts. One copy of each round was selected as the test set, and the remaining nine copies were used as the training set.	In each round, HLGNN-MDA removed the positive samples in the test set from the adjacency matrix.	HLGNN-MDA used 5430 known miRNA-disease associations as positive samples and a random sample of the same number of candidate associations as negative samples.	Baselines in the comparison table are BLHARMDA, BNPMDA, IMCMDA, LFEMDA, MKRMDA - none is a parameter-free topological score of the enumerated kinds	full_text
MEAHNE (Huang et al.)	yes	unclear	uniform_unlabeled	Verified links are positives, all others negatives; sets built by random sampling without repetition at a 1:1 positive-to-negative ratio	no	We split the dataset into training (70%), validation (10%), and test (20%) sets using a random sampling method without repetition.	NA - no sentence relates the construction of the heterogeneous graph or its metapath subgraphs to the split	The links that are verified from the databases in our dataset are positive samples, and the others are negative samples. ... The ratio of positive-to-negative samples in all sets is 1:1.	Table 3 caption: Model evaluation. Rows Metapath2vec, GAT, HAN, GAEMDA, MAGNN, HECO are all trained embedding or neural models	full_text
CKSNP-GNN (Li et al.)	yes	unclear	uniform_unlabeled	16,427 experimentally verified pairs as positives and 16,427 negatives randomly selected from the unknown associations (1:1)	no	We divided the miRNA-disease associations into five sets, set one as the test set and the other four as the training set, and received five prediction results.	NA - the split is stated only over associations; no sentence says what happens to adjacency matrix A, the GIP similarity matrices, or the bipartite graph at the split	In order to balance the positive and negative samples, 16,427 negative samples were randomly selected from the unknown associations in the subsequent experiments.	Table 1 caption: Comparative analysis of our model and related models. Rows PBMDA, LLCMDA, EDTMDA, GBDTLR, MCLPMDA, GAEMDA - none is an enumerated parameter-free topological score	full_text
HMCDA (Liang et al.)	yes	unclear	uniform_unlabeled	Negatives are node pairs that are not linked; 5 negative node pairs randomly sampled per positive pair in the training set (1:5)	no	All CDAs are divided into five subsets of equal size, with each subset selected in turn for testing and other four subsets for training.	NA - the heterogeneous graph is said to be constructed from the dataset for subsequent model training, but no sentence states whether test CDAs are removed from it	We define the negative samples as those nodes that are not linked together. In the training set, we randomly sample 5 different negative node pairs for each positive node pair.	Table 2 caption: AUCs of HMCDA under fivefold cross validation compared with four previous models - GATCL2CD, iCircDA-MF, GCNCDA, GATNNCDA, all trained models	full_text
HiGLDP (Wang et al.)	yes	unclear	not_described	Positive and negative lncRNA-disease pairs at a 1:1 ratio; the paper never states how the negative pairs were obtained	no	All methods were trained on identical sets of positive and negative lncRNA-disease pairs with a 1:1 ratio and evaluated using both fivefold and tenfold cross-validation, where the test associations were strictly excluded from the training folds.	NA - exclusion is stated only of the training folds and the training process; nothing says test associations are dropped from the GIP similarity matrices, the stratified interaction graph or the association feature graph	All methods were trained on identical sets of positive and negative lncRNA-disease pairs with a 1:1 ratio	Table 2 caption: Performance of computational models in predicting LncRNA-disease associations. Rows GANLDA, SIMCLDA, DMFLDA, GCRFLDA, gGATLDA, GMCLDA, VGAELDA, GraLTR-LDA, NAGTLDA are all trained; RWR appears only inside the pipeline to refine similarity matrices, not as a compared predictor	full_text
GPS-DTI (Xiong et al.)	yes	unclear	uniform_unlabeled	Negatives constructed by excluding positive interactions and randomly selecting negatives at 1x, 5x, 10x, 15x and 20x the positives; benchmark datasets supply their own negatives	no	Specifically, for all benchmark datasets, 10% of the data is first divided into independent test sets, and the remaining 90% of the data is further divided into quintuplets for five-fold cross-validation.	NA - the encoder consumes drug molecular graphs and protein sequences rather than a DTI adjacency, and the paper makes no statement about held-out interactions in any propagated structure	Negative samples were constructed by excluding positive interactions and randomly selecting negatives at ratios of 1x, 5x, 10x, 15x, and 20x relative to the positive samples.	we compared it against existing models, including SVM, RF, GraphDTA, DeepConvDTI, TransformerCPI, MolTrans, HyperAttDTI, DrugBAN, and CAT-DTI - SVM and RF are trained, so no parameter-free predictor appears	full_text
SaeGraphDTI (Zhang et al.)	yes	yes	all_unlabeled	All DTIs in the dataset are positives and every remaining drug-target pair is a negative (Davis obtained by thresholding affinity at 5.0); the DrugBank case study instead generates an equal number of random negatives	no	Every dataset was randomly shuffled to ensure each subset did not have a continuous distribution and then divided into five approximately equal folds without overlap. In each round, one fold was used as the test set and the remaining four folds as the training set.	The construction of the Drug-Drug approximate network and the Target-Target approximate network is based on the calculation of existing drug-target interaction pairs, including all interaction pairs in the calculation could result in the models performance being artificially inflated compared to the actual real-world performance. Therefore, the set of drug-target interaction pairs involved in constructing the approximate network is defined as B, with the number of elements in B being less than the total number of interaction pairs in A.	Considering all DTIs in the dataset as positive examples and the rest as negative examples, the relevant data distribution is shown in Table 1.	To test SaeGraphDTI, we compared it with classic machine learning models RF and SVM, as well as several widely cited DTI prediction models from recent years (MolTrans, HyperAttentionDTI, MCANet) - RF and SVM are trained, so no parameter-free predictor appears	full_text
DTI-MHAPR (Yang et al.)	yes	unclear	uniform_unlabeled	All known drug-target associations labelled positive and an equal number of randomly selected pairs labelled negative (1:1)	no	We then used five-fold cross-validation, with 80% of the samples for training and 20% for testing.	NA - the heterogeneous graph is built from similarity matrices and known DTIs information, with no statement that test DTIs are withheld from it	To mitigate noise and ensure dataset balance, we labeled all known drug-target protein associations as positive 1 and randomly selected an equal number of negative samples, labeling them as 0.	Table 2 and Table 3 compare against MNGACDA, GATECDA, MINIMDA, HFHLMDA, CGHCN, MIDTI, DTI-CNN and an FSI heterogeneous-network method - all trained predictors	full_text
iNGNN-DTI (Sun et al.)	yes	unclear	uniform_unlabeled	BIOSNAP supplies only positives, so unseen drug-target pairs are randomly sampled as negatives in equal number (1:1); Davis and KIBA ship with their own negatives	no	Each dataset is split into train, validation, and test sets in the ratio 7:1:2.	NA - the encoder is a nested GNN over drug molecular graphs and AlphaFold2 protein structure graphs, and no statement is made about held-out interactions in any propagated structure	Only positive pairs are provided by the BIOSNAP dataset, and we randomly sample unseen drug-target pairs with the same number of positive pairs as in the negative samples.	Table 4 compares DeepDTA, Moltrans, ML-DTI and DGraphDTA (Alphafold2) - all trained deep models	full_text
ModulePred (Jia et al.)	yes	unclear	uniform_unlabeled	Negatives randomly selected from all unconnected disease-gene pairs at 50 times the number of positives	yes	To validate the effectiveness of our method, we conducted a tenfold cross validation on the 130,820 curated associations.	NA - the heterogeneous module network is built from disease-gene associations, augmented PPIs and protein complexes with no statement that test associations are withheld	During the training phase, negative samples were randomly selected from all unconnected pairs between diseases and genes. ... the number of negative samples was set to be 50 times greater than the number of positive samples.	we compared ModulePred with three state-of-the-art methods including DADA, RWR, RWRH, Dgn2vec and HerGePred - RWR and RWRH are parameter-free random-walk-with-restart predictors evaluated on the same task in Fig. 2 (note: L3, RA and AA appear only inside the pipeline as graph augmentation, which does not count)	full_text
